volunteer,group,number_of_mosquitoes
subj1,beer,14
subj2,beer,33
subj3,beer,27
subj4,beer,11
subj5,beer,12
subj6,beer,27
subj7,beer,26
subj8,beer,25
subj9,beer,27
subj10,beer,27
subj11,beer,22
subj12,beer,36
subj13,beer,37
subj14,beer,3
subj15,beer,23
subj16,beer,7
subj17,beer,25
subj18,beer,17
subj19,beer,36
subj20,beer,31
subj21,beer,30
subj22,beer,22
subj23,beer,20
subj24,beer,29
subj25,beer,23
subj26,water,33
subj27,water,23
subj28,water,23
subj29,water,13
subj30,water,24
subj31,water,8
subj32,water,4
subj33,water,21
subj34,water,24
subj35,water,21
subj36,water,26
subj37,water,27
subj38,water,22
subj39,water,21
subj40,water,25
subj41,water,20
subj42,water,7
subj43,water,3